pid,tid,searchSeq,timeFromSearch,kind,resultUrl
2,6,2,3429,showProj,https://stackoverflow.com/questions/55285668/express-static-doesnt-route-the-static-files
2,6,2,10740,closePage,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
2,6,2,11771,openPage,https://stackoverflow.com/questions/42977068/express-serving-static-files-and-routing
3,2,0,1213,showProj,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
3,2,0,1213,showProj,https://stackoverflow.com/questions/56809727/sorting-an-array-of-objects-on-both-ascending-and-descending-order-on-same-click
3,2,0,1213,showProj,https://stackoverflow.com/questions/54623130/javascript-sort-an-array-of-objects-by-a-numeric-property-in-each-object
3,2,0,1213,showProj,https://stackoverflow.com/questions/31553155/sort-by-object-key-in-descending-order-on-javascript-underscore
3,2,0,1213,showProj,https://stackoverflow.com/questions/56996782/javascript-sorting-objects-not-arrays-in-descending
3,2,0,1213,showProj,https://stackoverflow.com/questions/1129216/sort-array-of-objects-by-string-property-value
3,2,0,1213,showProj,https://stackoverflow.com/questions/49365109/sort-array-of-objects-with-letters-and-numbers-in-descending-order
3,2,0,1213,showProj,https://stackoverflow.com/questions/72084911/how-do-i-sort-array-of-objects-in-descending-order-based-on-alphanumeric-value-i
3,2,0,1213,showProj,https://stackoverflow.com/questions/65687818/js-sort-array-of-objets-by-specific-string-property-not-ascending-or-descending
3,2,0,1213,showProj,https://stackoverflow.com/questions/12900058/how-can-i-sort-a-javascript-array-of-objects-numerically-and-then-alphabetically
3,2,0,33472,openPage,https://stackoverflow.com/questions/56809727/sorting-an-array-of-objects-on-both-ascending-and-descending-order-on-same-click
3,2,0,195595,closePage,https://stackoverflow.com/questions/56809727/sorting-an-array-of-objects-on-both-ascending-and-descending-order-on-same-click
3,2,0,196610,openPage,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
3,4,0,1295,openPage,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
3,4,0,5730,showProj,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
3,4,0,6106,showProj,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
3,4,0,6516,showProj,https://stackoverflow.com/questions/64297528/how-to-format-currency-in-javascript
3,4,0,7360,showProj,https://stackoverflow.com/questions/60689698/how-to-format-currency-and-time-in-javascript
3,4,0,7930,showProj,https://stackoverflow.com/questions/19664926/proper-js-currency-format-with-commas-and-decimals
3,4,0,8430,showProj,https://stackoverflow.com/questions/69668216/currency-format-in-euro
3,4,0,8683,showProj,https://stackoverflow.com/questions/40426965/javascript-function-to-format-as-money
3,4,0,10201,showProj,https://stackoverflow.com/questions/46235907/format-currency-in-javascript-removing-00
3,4,0,10649,showProj,https://stackoverflow.com/questions/68549027/currency-formatting-using-intl-numberformat-without-currency-symbol
3,1,0,1212,showProj,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
3,1,0,1212,showProj,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects
3,1,0,1212,showProj,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain
3,1,0,1212,showProj,https://stackoverflow.com/questions/62861485/make-clone-of-array-not-copy-of-reference-and-modify-the-new-array
3,1,0,1212,showProj,https://stackoverflow.com/questions/67176299/splice-method-used-on-a-copy-of-an-array-of-objects
3,1,0,1212,showProj,https://stackoverflow.com/questions/44808882/cloning-an-array-in-javascript-typescript
3,1,0,1212,showProj,https://stackoverflow.com/questions/53273218/javascript-deep-copy-an-array-containing-nested-objects-arrays-functions
3,1,0,1212,showProj,https://stackoverflow.com/questions/68764568/why-my-code-to-clone-an-array-doesnt-work-javascript
3,1,0,1212,showProj,https://stackoverflow.com/questions/597588/how-do-you-clone-an-array-of-objects-in-javascript
3,1,0,1212,showProj,https://stackoverflow.com/questions/48219487/javascript-how-to-clone-array-without-reference
