pid,tid,searchSeq,rank,text
18,1,0,5,JSON.stringify(function): string
18,1,0,6,slice()
18,1,0,7,slice(number)
18,1,0,8,T[].push(T[]): number
18,1,0,9,T[].forEach(function): void
18,6,0,0,static(unknown)
18,6,0,1,static(string)
18,6,0,2,use(unknown)
18,6,0,3,"use(string, unknown)"
18,6,0,4,"join(unknown, string)"
18,6,0,5,"get(string, function)"
18,6,0,6,"use(string, function, unknown)"
18,6,0,7,"use(string, function)"
18,6,0,8,use(function)
18,6,0,9,"get(string, unknown)"
19,4,0,0,Intl.NumberFormat.format(number | bigint): string
19,4,0,1,Number.toFixed(number): string
19,4,0,2,"String.replace(object, string): string"
19,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
19,4,0,4,toFixed(number)
19,4,0,5,"String.replace(string | RegExp, string): string"
19,4,0,6,"replace(regex, string)"
19,4,0,7,formatMoney(number)
19,4,0,8,format(string)
19,4,0,9,Number.toLocaleString(): string
19,3,0,0,"T[].reduce(function, U): U"
19,3,0,1,T[].find(function): T
19,3,0,2,T[].includes(T): boolean
19,3,0,3,T[].filter(function): T[]
19,3,0,4,T[].indexOf(T): number
19,3,0,5,filter(function)
19,3,0,6,T[].some(function): boolean
19,3,0,7,find(function)
19,3,0,8,T[].findIndex(function): number
19,3,0,9,"grep(unknown, function)"
19,5,0,0,"subtract(number, string)"
19,5,0,1,format(string)
19,5,0,2,moment()
19,5,0,3,"add(number, string)"
19,5,0,4,"moment(string, string)"
19,5,0,5,moment(number)
19,5,0,6,"moment(unknown, string)"
19,5,0,7,"subtract(string, number)"
19,5,0,8,moment(unknown)
19,5,0,9,diff(unknown)
20,3,0,0,"T[].reduce(function, U): U"
20,3,0,1,T[].find(function): T
20,3,0,2,T[].filter(function): T[]
20,3,0,3,T[].includes(T): boolean
20,3,0,4,T[].indexOf(T): number
20,3,0,5,filter(function)
20,3,0,6,T[].findIndex(function): number
20,3,0,7,T[].some(function): boolean
20,3,0,8,find(function)
20,3,0,9,T[].map(function): U[]
20,1,0,0,JSON.parse(string)
20,1,0,1,JSON.stringify(unknown): string
20,1,0,2,map(function)
20,1,0,3,T[].map(function): U[]
20,1,0,4,T[].slice(): T[]
20,1,0,5,JSON.stringify(function): string
20,1,0,6,slice()
20,1,0,7,slice(number)
20,1,0,8,T[].push(T[]): number
20,1,0,9,T[].forEach(function): void
20,5,0,0,"subtract(number, string)"
20,5,0,1,Date.getDate(): number
20,5,0,2,Date.getTime(): number
20,5,0,3,Date.setDate(number): number
20,5,0,4,moment()
20,5,0,5,format(string)
20,5,0,6,"add(number, string)"
20,5,0,7,Date.setTime(number): number
20,5,0,8,Date.toLocaleString(): string
20,5,0,9,Document.write(string[]): void
21,3,0,0,"T[].reduce(function, U): U"
21,3,0,1,T[].find(function): T
21,3,0,2,T[].includes(T): boolean
21,3,0,3,T[].filter(function): T[]
21,3,0,4,T[].indexOf(T): number
21,3,0,5,filter(function)
21,3,0,6,T[].some(function): boolean
21,3,0,7,find(function)
21,3,0,8,T[].findIndex(function): number
21,3,0,9,"grep(unknown, function)"
21,1,0,0,JSON.parse(string)
21,1,0,1,JSON.stringify(unknown): string
21,1,0,2,map(function)
21,1,0,3,T[].map(function): U[]
21,1,0,4,T[].slice(): T[]
21,1,0,5,JSON.stringify(function): string
21,1,0,6,slice()
21,1,0,7,slice(number)
21,1,0,8,T[].push(T[]): number
21,1,0,9,T[].forEach(function): void
21,5,0,0,moment(string)
21,5,0,1,format(string)
21,5,0,2,"subtract(number, string)"
21,5,0,3,subtract(unknown)
21,5,0,4,moment()
21,5,0,5,diff(unknown)
21,5,0,6,toString()
21,5,0,7,subtract(object)
21,5,0,8,moment(unknown)
21,5,0,9,Number.toString(): string
22,2,0,0,T[].sort(function): this
22,2,0,1,sort(function)
22,2,0,2,ObjectConstructor.keys(object): string[]
22,2,0,3,"sortBy(unknown, string)"
